location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
GREE,Pittsburgh,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,13.5,µg/m³,40.3053,-79.5061,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
YORK,York-Hanover,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,30.4,µg/m³,39.9653,-76.6994,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
Cape Romain,Charleston-North Charleston,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,6.3,µg/m³,32.941002,-79.656998,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
Ashton,Walterboro,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,12.2,µg/m³,33.007801,-80.964996,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
AIR LAB,Knoxville,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,14.5,µg/m³,35.9803,-83.9306,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Knox County Dept. of Air Quality Management""}]"
San Antonio Northwes,San Antonio,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,16.8,µg/m³,29.514999,-98.620003,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Selma C301,San Antonio,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,15.7,µg/m³,29.5875,-98.3122,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Calaveras Lake C59,San Antonio,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,14,µg/m³,29.275299,-98.311699,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Denton Airport South,Dallas-Fort Worth-Arlington,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,17.7,µg/m³,33.1944,-97.1933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Midlothian OFW C52,Dallas-Fort Worth-Arlington,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,10,µg/m³,32.482081,-97.026922,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
El Paso UTEP C12,El Paso,US,2017-02-27T13:00:00.000Z,2017-02-27T06:00:00-07:00,pm25,9.4,µg/m³,31.768056,-106.501111,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Socorro Hueco C49,El Paso,US,2017-02-27T13:00:00.000Z,2017-02-27T06:00:00-07:00,pm25,9.5,µg/m³,31.66752,-106.28774,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Fayette C601,FAYETTE,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,10,µg/m³,29.962474,-96.745875,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Houston Aldine C8,Houston-Sugar Land-Baytown,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,9.4,µg/m³,29.9011,-95.3261,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Houston East C1,Houston-Sugar Land-Baytown,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,10.4,µg/m³,29.7681,-95.2206,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
