location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
San Jose - Jackson S,San Jose-Sunnyvale-Santa Clara,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6,µg/m³,37.3483,-121.8947,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Troost,Kansas City,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,16.5,µg/m³,39.10465,-94.57055,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Missouri Department of Natural Resources""}]"
Denver - NJH - 14th,Denver-Aurora,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,4.2,µg/m³,39.7386,-104.9394,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Colorado Department of Public Health and Environment""}]"
Greeley Hospital,Greeley,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,0.8,µg/m³,40.4147,-104.7061,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Colorado Department of Public Health and Environment""}]"
CARPENTER,Des Moines,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,14,µg/m³,41.6031,-93.643303,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Polk Co. Air Quality Division""}]"
Heritage Park,Kansas City,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,16,µg/m³,38.8386,-94.7464,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Kansas Dept. of Health and Environment""}]"
Bellingham-Yew St,Bellingham,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6.6,µg/m³,48.762699,-122.440201,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Moses Lake-Balsam St,Moses Lake,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6.8,µg/m³,47.1303,-119.2726,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Ritzville-Alder St,ADAMS,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1.4,µg/m³,47.127998,-118.381897,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Rosalia-Josephine St,Pullman,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,2.3,µg/m³,47.2313,-117.3685,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Pullman-Dexter Ave,Pullman,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1.2,µg/m³,46.7245,-117.1801,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Seattle-South Park,Seattle-Tacoma-Bellevue,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,8.9,µg/m³,47.5309,-122.3208,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Lone Pine Paiute/Sho,Bishop,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,3.9,µg/m³,36.5975,-118.04,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Lebanon,Cincinnati-Middletown,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,6.2,µg/m³,39.42689,-84.20077,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
HICKORY,Hickory-Lenoir-Morganton,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,16,µg/m³,35.73,-81.37,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Mesa-Pepoit Way (tem,Kennewick-Richland-Pasco,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1.1,µg/m³,46.5754,-119.0021,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Bellevue-Bellevue Wa,Seattle-Tacoma-Bellevue,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,4.6,µg/m³,47.613,-122.2017,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Walla Walla-12th St,Walla Walla,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,0,µg/m³,46.0588,-118.3514,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Montclaire,Charlotte-Gastonia-Concord,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,10.5,µg/m³,35.1514,-80.8669,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Mecklenburg County Air Quality""}]"
Oakridge - Willamett,Eugene-Springfield,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,14.2,µg/m³,43.74436,-122.480506,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Lane Regional Air Protection Agency""}]"
Yosemite Village - V,MARIPOSA,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,8,µg/m³,37.7486,-119.5869,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Flemington,New York-Northern New Jersey-Long Island,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,9.5,µg/m³,40.515251,-74.806755,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
MCADORY,Birmingham-Hoover,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,9.1,µg/m³,33.3311,-87.0036,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Jefferson County Department of Health""}]"
HOOVER,Birmingham-Hoover,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,7.4,µg/m³,33.3864,-86.8167,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Jefferson County Department of Health""}]"
CORNER,Birmingham-Hoover,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,12.3,µg/m³,33.8017,-86.9425,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Jefferson County Department of Health""}]"
Children's Park Site,Tucson,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,2,µg/m³,32.2953,-110.9822,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pima County Department of Environmental Quality""}]"
MARION,Memphis,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,5.3,µg/m³,35.1967,-90.1911,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arkansas Department of Environmental Quality""}]"
PARR,Little Rock-North Little Rock,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,4.9,µg/m³,34.7561,-92.2758,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arkansas Department of Environmental Quality""}]"
Livermore - Rincon,San Francisco-Oakland-Fremont,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6,µg/m³,37.687526,-121.784217,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Gridley,Chico,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,13,µg/m³,39.32756,-121.66881,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
San Andreas,CALAVERAS,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,16,µg/m³,38.2019,-120.680603,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Colusa - Sunrise Blv,COLUSA,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1,µg/m³,39.2031,-122.0169,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Concord,San Francisco-Oakland-Fremont,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,3,µg/m³,37.9383,-122.025,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Mojave - 923 Poole S,Bakersfield,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,3,µg/m³,35.0506,-118.1464,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Bakersfield - Califo,Bakersfield,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,11,µg/m³,35.3561,-119.0403,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
San Rafael,San Francisco-Oakland-Fremont,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,3,µg/m³,37.9722,-122.5189,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
WIllits Justice Cent,Ukiah,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,9,µg/m³,39.411743,-123.352661,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Mendocino County AQMD""}]"
Napa - Jefferson St,Napa,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,17,µg/m³,38.3108,-122.295,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Roseville - N.Sunris,Sacramento--Arden-Arcade--Roseville,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,3,µg/m³,38.7458,-121.2653,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Fond du Lac,CARLTON,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,5,µg/m³,46.713694,-92.511722,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Minnesota Pollution Control Agency""}]"
Ojai - Ojai Ave.,Oxnard-Thousand Oaks-Ventura,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,12,µg/m³,34.4483,-119.2303,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ventura County  APCD""}]"
Simi Valley - Cochra,Oxnard-Thousand Oaks-Ventura,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,8,µg/m³,34.2775,-118.6847,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ventura County  APCD""}]"
El Rio - Rio Mesa Sc,Oxnard-Thousand Oaks-Ventura,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,3,µg/m³,34.2653,-119.1336,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ventura County  APCD""}]"
Davis - UCD Campus,Sacramento--Arden-Arcade--Roseville,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,4,µg/m³,38.53455,-121.7734,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Boulder - CU - 2102,Boulder,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,0.9,µg/m³,40.0128,-105.2667,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Colorado Department of Public Health and Environment""}]"
Denver - CAMP - 2105,Denver-Aurora,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,1.8,µg/m³,39.751099,-104.987198,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Colorado Department of Public Health and Environment""}]"
Rider University,Trenton-Ewing,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,10.5,µg/m³,40.283092,-74.742645,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Rutgers University,New York-Northern New Jersey-Long Island,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,9.5,µg/m³,40.462181,-74.429436,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Elizabeth Trailer,New York-Northern New Jersey-Long Island,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,15.7,µg/m³,40.641441,-74.208366,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Del Norte,Albuquerque,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,5.9,µg/m³,35.1353,-106.584702,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Albuquerque Environmental Health Department""}]"
Tramway,Albuquerque,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,3.3,µg/m³,35.185,-106.5077,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Albuquerque Environmental Health Department""}]"
LEGGETT,Rocky Mount,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,8,µg/m³,35.9889,-77.5867,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
HATTIEAVEN,Winston-Salem,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,10.9,µg/m³,36.1106,-80.2267,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Forsyth County Office of Environmental Assistance and Protection""}]"
JOHNSTON,Raleigh-Cary,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,6,µg/m³,35.5,-78.4375,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
GARINGER,Charlotte-Gastonia-Concord,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,14,µg/m³,35.2411,-80.7831,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Mecklenburg County Air Quality""}]"
CASTLE H,Wilmington,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,3.6,µg/m³,34.3561,-77.8617,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
BRYSON,SWAIN,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,15.5,µg/m³,35.4356,-83.4436,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Millbrook NCore,Raleigh-Cary,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,6.7,µg/m³,35.856098,-78.574203,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Dunn Center,DUNN,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,16.1,µg/m³,47.320301,-102.526398,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Dakota Department of Health""}]"
Sycamore,Cincinnati-Middletown,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,6.5,µg/m³,39.2787,-84.36612,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
Colerain,Cincinnati-Middletown,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,3.7,µg/m³,39.21494,-84.69086,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
Taft,Cincinnati-Middletown,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,12.6,µg/m³,39.12886,-84.50404,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
Erie,Toledo,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,6.7,µg/m³,41.644067,-83.54625,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
East High School,Akron,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,13.9,µg/m³,41.063526,-81.468956,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
Moore,Oklahoma City,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,17.4,µg/m³,35.32,-97.4883,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Oklahoma Department of Environmental Quality""}]"
North OKC,Oklahoma City,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,15.7,µg/m³,35.612801,-97.472198,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Oklahoma Department of Environmental Quality""}]"
Glenpool,Tulsa,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,15.1,µg/m³,35.9525,-96.0033,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Oklahoma Department of Environmental Quality""}]"
Eugene - Amazon Park,Eugene-Springfield,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,0.9,µg/m³,44.0263,-123.08377,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Lane Regional Air Protection Agency""}]"
BAPC 301 39TH STREET,Pittsburgh,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,14,µg/m³,40.4656,-79.9611,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Allegheny County""}]"
KITT,Pittsburgh,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,17.3,µg/m³,40.8142,-79.565,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
BEAV,Pittsburgh,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,12.9,µg/m³,40.747799,-80.316704,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
ALTO,Altoona,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,17.5,µg/m³,40.515,-78.3889,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
JOHN,Johnstown,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,22.5,µg/m³,40.3097,-78.9158,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
STAT,State College,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,3.6,µg/m³,40.8114,-77.8769,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
HARR,Harrisburg-Carlisle,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,21.1,µg/m³,40.246992,-76.846988,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
CHES,Philadelphia-Camden-Wilmington,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,11.2,µg/m³,39.8356,-75.3725,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
HOLB,GREENE,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,7.9,µg/m³,39.82,-80.2897,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
ERIE,Erie,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,7.4,µg/m³,42.1428,-80.0372,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
SCRA,Scranton--Wilkes-Barre,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,10.1,µg/m³,41.4428,-75.6231,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
Farrell - PA,Youngstown-Warren-Boardman,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,21.4,µg/m³,41.215,-80.485,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
FREE,Allentown-Bethlehem-Easton,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,21.7,µg/m³,40.6281,-75.3411,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
CHAR,Pittsburgh,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,11.2,µg/m³,40.1469,-79.9033,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
WASH,Pittsburgh,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,12.1,µg/m³,40.17,-80.2617,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
FLOR,Pittsburgh,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,2.6,µg/m³,40.4447,-80.42,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
GREE,Pittsburgh,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,20.2,µg/m³,40.3053,-79.5061,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
YORK,York-Hanover,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,16,µg/m³,39.9653,-76.6994,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
W Greenwich,Providence-New Bedford-Fall River,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,7,µg/m³,41.615,-71.7197,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Rhode Island Dept. of Environmental Management""}]"
Ashton,Walterboro,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,5,µg/m³,33.007801,-80.964996,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
Trenton,Augusta-Richmond County,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,15.6,µg/m³,33.7397,-81.8536,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
Long Creek,Seneca,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,6.6,µg/m³,34.805,-83.237503,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
AIR LAB,Knoxville,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,18.6,µg/m³,35.9803,-83.9306,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Knox County Dept. of Air Quality Management""}]"
San Antonio Northwes,San Antonio,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,21.6,µg/m³,29.514999,-98.620003,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Selma C301,San Antonio,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,23.8,µg/m³,29.5875,-98.3122,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Calaveras Lake C59,San Antonio,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,28.7,µg/m³,29.275299,-98.311699,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Phoenix JLG Supersit,Phoenix-Mesa-Scottsdale,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,0,µg/m³,33.503601,-112.095001,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arizona Department of Environmental Quality""}]"
Burlington,Burlington-South Burlington,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,8.9,µg/m³,44.476101,-73.210297,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Vermont Air Quality & Climate Division""}]"
San Pablo - Rumrill,San Francisco-Oakland-Fremont,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,5,µg/m³,37.9604,-122.3571,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Niland - English Roa,El Centro,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,15,µg/m³,33.2136,-115.5444,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Imperial County Air Pollution Control District""}]"
Lancaster-Division,Los Angeles-Long Beach-Santa Ana,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,4.1,µg/m³,34.669589,-118.130689,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Mojave Desert AQMD""}]"
Thibodaux,Houma-Bayou Cane-Thibodaux,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,6.3,µg/m³,29.7639,-90.7653,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Louisiana Department of Environmental Quality""}]"
