location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
San Antonio Old Hwy9,San Antonio,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,1.9,µg/m³,29.423933,-98.580505,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
SPRNGDLE,Fayetteville-Springdale-Rogers,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,5.5,µg/m³,36.1797,-94.1167,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arkansas Department of Environmental Quality""}]"
Rossville,Chattanooga,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,1,µg/m³,34.9789,-85.3009,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Georgia Department of Natural Resources""}]"
Irmo,Columbia,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,4.6,µg/m³,34.051102,-81.154999,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
Leavenworth-Evans St,Wenatchee,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,2.9,µg/m³,47.5988,-120.6647,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Toppenish-Yakama Tri,Yakima,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,8,µg/m³,46.380199,-120.332603,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Wellpinit-Spokane Tr,STEVENS,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,4,µg/m³,47.885201,-117.988602,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Winthrop-Chewuch Rd,OKANOGAN,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,3.3,µg/m³,48.4772,-120.1906,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Yakima-4th Ave,Yakima,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,1,µg/m³,46.594952,-120.512283,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Galveston Airport C1,Houston-Sugar Land-Baytown,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,8.3,µg/m³,29.2631,-94.8564,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Durham Armory,Durham,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,6.6,µg/m³,35.9919,-78.8964,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Waco C1037,Waco,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,2.4,µg/m³,31.6531,-97.0706,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
